"Project","Compound.Name","Abbreviation","CAS","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IUPACName","XLogP","MonoisotopicMass","TPSA","Charge","Volume3D"
"1","Perfluorodecanoate","PFDA","73829-36-4",21895380,"C10F19O2-",513.07,"C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoate",6.9,512.959489,40.1,-1,258.5
"1","Perfluoroundecanoate","PFUnDA","196859-54-8",23533165,"C11F21O2-",563.08,"C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoate",7.6,562.956296,40.1,-1,280.2
"1","Perfluorododecanoate","PFDoDA","171978-95-3",22174013,"C12F23O2-",613.09,"C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluorododecanoate",8.3,612.953102,40.1,-1,306
"1","Perfluorotridecanoate","PFTriDA","862374-87-6",23084971,"C13F25O2-",663.1,"C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-pentacosafluorotridecanoate",8.9,662.949908,40.1,-1,327.3
"1","Perfluorooctane sulfonate","PFOS","1763-23-1",74483,"C8HF17O3S",500.13,"C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid",5,499.937494,62.8,0,252.6
"1","Perfluorooctanesulfonamide","PFOSA","754-91-6",69785,"C8H2F17NO2S",499.15,"C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F","1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide",4.8,498.953478,68.5,0,255.1
"2","2-bromo-4,6-dinitroaniline","BDNA","1817-73-8",15752,"C6H4BrN3O4",262.02,"C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-]","2-bromo-4,6-dinitroaniline",2.1,260.93852,118,0,151.2
"2","2-chloro-4,6-dinitroaniline","ClDNA","3531-19-9",19052,"C6H4ClN3O4",217.57,"C1=C(C=C(C(=C1[N+](=O)[O-])N)Cl)[N+](=O)[O-]","2-chloro-4,6-dinitroaniline",2.1,216.989033,118,0,144
"2","Disperse blue 373","DB373","51868-46-3",103997,"C21H21BrN6O6",533.3,"CC(=O)NC1=CC(=C(C=C1N=NC2=C(C=C(C=C2Br)[N+](=O)[O-])[N+](=O)[O-])OC)N(CC=C)CC=C","N-[5-[bis(prop-2-enyl)amino]-2-[(2-bromo-4,6-dinitrophenyl)diazenyl]-4-methoxyphenyl]acetamide",4.6,532.0706,158,0,369.5
"2","Disperse violet 93","DV93","52697-38-8",104287,"C18H19BrN6O5",479.3,"CCN(CC)C1=CC(=C(C=C1)N=NC2=C(C=C(C=C2Br)[N+](=O)[O-])[N+](=O)[O-])NC(=O)C","N-[2-[(2-bromo-4,6-dinitrophenyl)diazenyl]-5-(diethylamino)phenyl]acetamide",4.1,478.06003,149,0,326.5
