"Date","temperature","NO2","O3"
43300.0416666667,16.2,8,23
43300.0833333333,15.6,13,15
43300.125,15.2,12,14
43300.1666666667,14.9,11,15
43300.2083333333,14.7,18,10
43300.25,15.2,16,14
43300.2916666667,18,15,17
43300.3333333333,20.5,12,26
43300.375,21.7,7,32
43300.4166666667,23.2,7,34
43300.4583333333,24,8,40
43300.5,24.7,6,43
43300.5416666667,26.3,7,49
43300.5833333333,26.8,6,58
43300.625,26.4,5,64
43300.6666666667,26.7,4,68
43300.7083333333,26.7,4,66
43300.75,26.2,4,67
43300.7916666667,24.7,6,66
43300.8333333333,23.2,6,67
43300.875,21.9,8,58
43300.9166666667,21.3,8,49
43300.9583333333,18,7,42
43301,20.5,8,37
43301.0416666667,20.1,11,29
43301.0833333333,19.6,12,27
43301.125,19.1,13,23
43301.1666666667,18.6,11,23
43301.2083333333,18.7,14,19
43301.25,19.5,12,21
43301.2916666667,21.9,8,28
43301.3333333333,24.1,3,40
43301.375,25,3,43
43301.4166666667,26.2,3,46
43301.4583333333,27.4,2,48
43301.5,28.3,3,49
43301.5416666667,29,2,54
43301.5833333333,29.2,3,-999
43301.625,29.1,2,61
43301.6666666667,28.9,2,61
43301.7083333333,28.9,3,60
43301.75,28.1,3,59
43301.7916666667,27.1,3,57
43301.8333333333,25.5,3,54
43301.875,25.7,2,50
43301.9166666667,26.1,2,50
43301.9583333333,20.8,2,51
43302,24.9,2,-999
43302.0416666667,23.2,2,55
43302.0833333333,23,2,57
43302.125,22.9,2,57
43302.1666666667,22.1,2,57
43302.2083333333,21.8,2,58
43302.25,21.9,3,56
43302.2916666667,22.6,3,53
43302.3333333333,23.2,2,51
43302.375,23.8,2,49
43302.4166666667,25.7,2,47
43302.4583333333,24.3,2,46
43302.5,24.7,2,45
43302.5416666667,23.1,2,46
43302.5833333333,24.5,2,46
43302.625,24.9,2,46
43302.6666666667,25.6,1,46
43302.7083333333,25.4,1,46
43302.75,24.4,2,45
43302.7916666667,24,2,45
43302.8333333333,23.8,2,43
43302.875,23.5,1,46
43302.9166666667,22.3,1,51
43302.9583333333,26.1,1,48
43303,19.9,1,47
43303.0416666667,17.9,2,45
43303.0833333333,18,3,41
43303.125,18.2,-999,-999
43303.1666666667,17.3,7,32
43303.2083333333,17.1,4,31
43303.25,17.4,3,29
43303.2916666667,17.6,3,26
43303.3333333333,17.2,3,27
43303.375,17.4,2,27
43303.4166666667,17.5,3,25
43303.4583333333,18.5,3,24
43303.5,19.3,1,25
43303.5416666667,20.2,1,28
43303.5833333333,21.4,1,32
43303.625,21.9,1,32
43303.6666666667,21.6,1,31
43303.7083333333,23.5,2,30
43303.75,22.6,2,29
43303.7916666667,22.3,5,26
43303.8333333333,21.6,9,18
43303.875,21.3,14,15
43303.9166666667,20.7,13,16
43303.9583333333,21.4,8,16
43304,20.7,6,21
43304.0416666667,20.8,4,26
43304.0833333333,20.6,3,29
43304.125,21.3,5,25
43304.1666666667,21.1,5,23
43304.2083333333,20.8,7,19
43304.25,21.1,8,18
43304.2916666667,22.3,5,22
43304.3333333333,23.6,4,26
43304.375,25.1,3,29
43304.4166666667,25.6,3,32
43304.4583333333,25,2,36
43304.5,25.9,3,36
43304.5416666667,26.7,3,36
43304.5833333333,27.1,4,33
43304.625,25.7,3,31
43304.6666666667,25.7,3,32
43304.7083333333,25.7,2,36
43304.75,26,2,38
43304.7916666667,24.2,2,41
43304.8333333333,23.6,4,36
43304.875,23.6,3,33
43304.9166666667,23.1,3,30
43304.9583333333,20.6,3,30
43305,22.3,2,29
43305.0416666667,22.1,2,29
43305.0833333333,22.1,2,26
43305.125,22.3,2,24
43305.1666666667,21.8,2,23
43305.2083333333,21.8,4,19
43305.25,22.2,6,20
43305.2916666667,23.6,5,25
43305.3333333333,25.1,4,27
43305.375,25.5,4,27
43305.4166666667,25.7,4,33
43305.4583333333,26.5,3,39
43305.5,27.6,3,37
43305.5416666667,28.5,3,40
43305.5833333333,28.8,3,43
43305.625,29.5,2,46
43305.6666666667,29,2,47
43305.7083333333,28.1,3,44
43305.75,26.7,7,36
43305.7916666667,22.7,7,33
43305.8333333333,22.8,5,32
43305.875,22.2,6,28
43305.9166666667,22.6,7,28
43305.9583333333,22.8,7,27
43306,22.4,5,29
43306.0416666667,22.4,5,28
43306.0833333333,21.8,6,26
43306.125,21.5,6,22
43306.1666666667,21.3,8,18
43306.2083333333,21.3,16,11
43306.25,20.9,14,16
43306.2916666667,21.4,11,25
43306.3333333333,22,11,27
43306.375,24,9,33
43306.4166666667,24.2,9,35
43306.4583333333,25.2,7,38
43306.5,26.4,7,37
43306.5416666667,27.3,5,35
43306.5833333333,27.8,5,33
43306.625,30,5,32
43306.6666666667,29,6,31
43306.7083333333,28.1,6,32
43306.75,27.2,7,30
43306.7916666667,26,8,28
43306.8333333333,24.4,9,24
43306.875,23.1,12,19
43306.9166666667,22.6,12,17
43306.9583333333,22.5,14,14
43307,19.3,14,13
